date_time,temp,B1F,Heat1F,Heat2F,Heat3F,Heat4F,Heat5F,Heat6F,Heat7F,Heat8F,Heatsum
2022/6/25 0:00,27.2,0,0,0,0,0,0,0,0,0,0
2022/6/25 1:00,27.3,0,0,0,0,0,0,0,0,0,0
2022/6/25 2:00,27.3,0,0,0,0,0,0,0,0,0,0
2022/6/25 3:00,27.3,0,0,0,0,0,0,0,0,0,0
2022/6/25 4:00,27.6,0,0,0,0,0,0,0,0,0,0
2022/6/25 5:00,27.7,0,0,0,0,0,0,0,0,0,0
2022/6/25 6:00,27.2,0,0,0,0,0,0,0,0,0,0
2022/6/25 7:00,27.6,0,0,0,0,0,0,0,0,0,0
2022/6/25 8:00,27,0,0,0,0.002,0,0.002,0.003,0.009,0.004,0.01
2022/6/25 9:00,27.4,0,0.029,0.127,0.159,0.128,0.193,0.132,0.297,0.097,1.276
2022/6/25 10:00,22.7,0,0.011,0.162,0.08,0.082,0.112,0.071,0.125,0.055,0.773
2022/6/25 11:00,24.4,0,0.024,0.109,0.079,0.081,0.075,0.065,0.119,0.073,0.693
2022/6/25 12:00,23.4,0,0.013,0.099,0.054,0.069,0.062,0.065,0.116,0.111,0.659
2022/6/25 13:00,24.5,0,0,0.1,0.054,0.032,0.08,0.071,0.131,0.115,0.67
2022/6/25 14:00,24.5,0,0,0.104,0.038,0.011,0.101,0.072,0.133,0.11,0.645
2022/6/25 15:00,24.7,0,0,0.1,0.052,0.009,0.079,0.069,0.128,0.127,0.649
2022/6/25 16:00,23.9,0,0,0.073,0.049,0.018,0.035,0.078,0.136,0.146,0.616
2022/6/25 17:00,24.2,0,0,0.028,0.023,0.006,0.011,0.048,0.078,0.081,0.312
2022/6/25 18:00,24.5,0,0,0.033,0.026,0.008,0.013,0.037,0.061,0.061,0.271
2022/6/25 19:00,24,0,0,0,0,0,0,0,0,0,0
2022/6/25 20:00,25.5,0,0,0,0,0,0,0,0,0,0
2022/6/25 21:00,25.8,0,0,0,0,0,0,0,0,0,0
2022/6/25 22:00,25.7,0,0,0,0,0,0,0,0,0,0
2022/6/25 23:00,25.1,0,0,0,0,0,0,0,0,0,0
2022/6/26 0:00,24.3,0,0,0,0,0,0,0,0,0,0
2022/6/26 1:00,24.5,0,0,0,0,0,0,0,0,0,0
2022/6/26 2:00,23.8,0,0,0,0,0,0,0,0,0,0
2022/6/26 3:00,24.3,0,0,0,0,0,0,0,0,0,0
2022/6/26 4:00,24.8,0,0,0,0,0,0,0,0,0,0
2022/6/26 5:00,24.7,0,0,0,0,0,0,0,0,0,0
2022/6/26 6:00,25.5,0,0,0,0,0,0,0,0,0,0
2022/6/26 7:00,25.3,0,0,0,0,0,0,0,0,0,0
2022/6/26 8:00,26.9,0,0,0,0,0,0,0,0,0,0
2022/6/26 9:00,28.9,0,0,0,0,0,0,0,0,0,0
2022/6/26 10:00,29.4,0,0,0,0,0,0,0,0,0,0
2022/6/26 11:00,30,0,0,0,0,0,0,0,0,0,0
2022/6/26 12:00,30.4,0,0,0,0,0,0,0,0,0,0
2022/6/26 13:00,30.9,0,0,0,0,0,0,0,0,0,0
2022/6/26 14:00,32,0,0,0,0,0,0,0,0,0,0
2022/6/26 15:00,31.6,0,0,0,0,0,0,0,0,0,0
2022/6/26 16:00,32.3,0,0,0,0,0,0,0,0,0,0
2022/6/26 17:00,31.8,0,0,0,0,0,0,0,0,0,0
2022/6/26 18:00,29.8,0,0,0,0,0,0,0,0,0,0
2022/6/26 19:00,29.9,0,0,0,0,0,0,0,0,0,0
2022/6/26 20:00,28.9,0,0,0,0,0,0,0,0,0,0
2022/6/26 21:00,29.3,0,0,0,0,0,0,0,0,0,0
2022/6/26 22:00,28.5,0,0,0,0,0,0,0,0,0,0
2022/6/26 23:00,28.3,0,0,0,0,0,0,0,0,0,0
2022/6/27 0:00,28.1,0,0,0,0,0,0,0,0,0,0
2022/6/27 1:00,27.9,0,0,0,0,0,0,0,0,0,0
2022/6/27 2:00,27.5,0,0,0,0,0,0,0,0,0,0
2022/6/27 3:00,28,0,0,0,0,0,0,0,0,0,0
2022/6/27 4:00,27.9,0,0,0,0,0,0,0,0,0,0
2022/6/27 5:00,27.4,0,0,0,0,0,0,0,0,0,0
2022/6/27 6:00,27.6,0,0,0,0,0,0,0,0,0,0
