,℃,GJ,GJ
時刻,気温,1系統冷水熱量,2系統冷水熱量
2022/7/1 8:00,29.200 ,0.480 ,0.000 
2022/7/1 9:00,31.100 ,0.419 ,0.178 
2022/7/1 10:00,31.500 ,0.425 ,0.277 
2022/7/1 11:00,32.200 ,0.422 ,0.252 
2022/7/1 12:00,32.900 ,0.411 ,0.235 
2022/7/1 13:00,33.000 ,0.426 ,0.228 
2022/7/1 14:00,32.200 ,0.419 ,0.244 
2022/7/1 15:00,32.700 ,0.408 ,0.261 
2022/7/1 16:00,31.200 ,0.384 ,0.273 
2022/7/1 17:00,31.000 ,0.166 ,0.302 
2022/7/1 18:00,29.700 ,0.082 ,0.287 
2022/7/1 19:00,28.700 ,0.054 ,0.249 
2022/7/1 20:00,28.000 ,0.014 ,0.113 
2022/7/1 21:00,27.400 ,0.000 ,0.000 
2022/7/1 22:00,27.200 ,0.000 ,0.000 
2022/7/1 23:00,27.400 ,0.000 ,0.000 
2022/7/2 0:00,27.400 ,0.000 ,0.000 
2022/7/2 1:00,27.000 ,0.000 ,0.000 
2022/7/2 2:00,26.700 ,0.000 ,0.000 
2022/7/2 3:00,26.900 ,0.000 ,0.000 
2022/7/2 4:00,26.600 ,0.000 ,0.000 
2022/7/2 5:00,26.300 ,0.000 ,0.000 
2022/7/2 6:00,26.600 ,0.000 ,0.000 
2022/7/2 7:00,27.600 ,0.000 ,0.000 
2022/7/2 8:00,29.200 ,0.003 ,0.000 
2022/7/2 9:00,30.800 ,0.067 ,0.079 
2022/7/2 10:00,33.000 ,0.048 ,0.159 
2022/7/2 11:00,34.100 ,0.031 ,0.119 
2022/7/2 12:00,35.000 ,0.045 ,0.137 
2022/7/2 13:00,34.100 ,0.029 ,0.091 
2022/7/2 14:00,34.200 ,0.050 ,0.131 
2022/7/2 15:00,34.700 ,0.028 ,0.115 
2022/7/2 16:00,34.400 ,0.042 ,0.149 
2022/7/2 17:00,33.300 ,0.048 ,0.137 
2022/7/2 18:00,32.200 ,0.015 ,0.041 
2022/7/2 19:00,30.600 ,0.000 ,0.000 
2022/7/2 20:00,30.000 ,0.000 ,0.000 
2022/7/2 21:00,29.800 ,0.000 ,0.000 
2022/7/2 22:00,30.400 ,0.000 ,0.000 
2022/7/2 23:00,29.700 ,0.000 ,0.000 
2022/7/3 0:00,29.300 ,0.000 ,0.000 
2022/7/3 1:00,29.300 ,0.000 ,0.000 
2022/7/3 2:00,28.700 ,0.000 ,0.000 
2022/7/3 3:00,28.500 ,0.000 ,0.000 
2022/7/3 4:00,28.600 ,0.000 ,0.000 
2022/7/3 5:00,28.400 ,0.000 ,0.000 
2022/7/3 6:00,28.100 ,0.000 ,0.000 
2022/7/3 7:00,28.600 ,0.000 ,0.000 
2022/7/3 8:00,29.000 ,0.058 ,0.011 
2022/7/3 9:00,30.300 ,0.041 ,0.003 
2022/7/3 10:00,31.100 ,0.039 ,0.000 
2022/7/3 11:00,32.600 ,0.033 ,0.000 
2022/7/3 12:00,32.800 ,0.034 ,0.000 
2022/7/3 13:00,33.100 ,0.033 ,0.000 
2022/7/3 14:00,34.000 ,0.034 ,0.000 
2022/7/3 15:00,33.100 ,0.033 ,0.000 
2022/7/3 16:00,32.600 ,0.033 ,0.000 
2022/7/3 17:00,32.500 ,0.034 ,0.000 
2022/7/3 18:00,31.800 ,0.003 ,0.000 
2022/7/3 19:00,30.400 ,0.000 ,0.000 
2022/7/3 20:00,31.100 ,0.000 ,0.000 
2022/7/3 21:00,30.800 ,0.000 ,0.000 
2022/7/3 22:00,30.300 ,0.000 ,0.000 
2022/7/3 23:00,30.100 ,0.000 ,0.000 
2022/7/4 0:00,29.700 ,0.000 ,0.000 
2022/7/4 1:00,29.400 ,0.000 ,0.000 
2022/7/4 2:00,28.700 ,0.000 ,0.000 
2022/7/4 3:00,25.900 ,0.000 ,0.000 
2022/7/4 4:00,26.700 ,0.000 ,0.000 
2022/7/4 5:00,26.800 ,0.000 ,0.000 
2022/7/4 6:00,27.300 ,0.000 ,0.000 
2022/7/4 7:00,27.900 ,0.145 ,0.010 
2022/7/4 8:00,29.100 ,0.479 ,0.003 
2022/7/4 9:00,29.000 ,0.408 ,0.168 
2022/7/4 10:00,29.100 ,0.388 ,0.229 
2022/7/4 11:00,30.200 ,0.418 ,0.233 
2022/7/4 12:00,30.900 ,0.414 ,0.242 
2022/7/4 13:00,31.100 ,0.443 ,0.238 
2022/7/4 14:00,30.000 ,0.412 ,0.235 
2022/7/4 15:00,31.400 ,0.399 ,0.243 
2022/7/4 16:00,31.000 ,0.210 ,0.242 
2022/7/4 17:00,25.900 ,0.124 ,0.258 
2022/7/4 18:00,27.500 ,0.081 ,0.265 
2022/7/4 19:00,28.600 ,0.065 ,0.211 
2022/7/4 20:00,25.800 ,0.017 ,0.092 
2022/7/4 21:00,25.500 ,0.000 ,0.000 
2022/7/4 22:00,26.100 ,0.000 ,0.000 
2022/7/4 23:00,26.300 ,0.000 ,0.000 
2022/7/5 0:00,26.300 ,0.000 ,0.000 
2022/7/5 1:00,26.500 ,0.000 ,0.000 
2022/7/5 2:00,26.400 ,0.000 ,0.000 
2022/7/5 3:00,26.400 ,0.000 ,0.000 
2022/7/5 4:00,26.300 ,0.000 ,0.000 
2022/7/5 5:00,26.400 ,0.000 ,0.000 
2022/7/5 6:00,26.200 ,0.000 ,0.000 
2022/7/5 7:00,26.000 ,0.000 ,0.000 
2022/7/5 8:00,26.500 ,0.000 ,0.000 
2022/7/5 9:00,27.400 ,0.000 ,0.000 
2022/7/5 10:00,28.100 ,0.000 ,0.000 
2022/7/5 11:00,28.200 ,0.000 ,0.000 
2022/7/5 12:00,28.800 ,0.000 ,0.000 
2022/7/5 13:00,28.500 ,0.000 ,0.000 
2022/7/5 14:00,27.900 ,0.000 ,0.000 
2022/7/5 15:00,27.600 ,0.000 ,0.000 
2022/7/5 16:00,27.700 ,0.000 ,0.000 
2022/7/5 17:00,28.200 ,0.000 ,0.000 
2022/7/5 18:00,28.000 ,0.000 ,0.000 
2022/7/5 19:00,27.600 ,0.000 ,0.000 
2022/7/5 20:00,27.700 ,0.000 ,0.000 
2022/7/5 21:00,27.600 ,0.000 ,0.000 
2022/7/5 22:00,27.700 ,0.000 ,0.000 
2022/7/5 23:00,27.600 ,0.000 ,0.000 
2022/7/6 0:00,27.100 ,0.000 ,0.000 
2022/7/6 1:00,27.200 ,0.000 ,0.000 
2022/7/6 2:00,27.100 ,0.000 ,0.000 
2022/7/6 3:00,26.900 ,0.000 ,0.000 
2022/7/6 4:00,26.800 ,0.000 ,0.000 
2022/7/6 5:00,26.600 ,0.000 ,0.000 
2022/7/6 6:00,26.400 ,0.000 ,0.000 
2022/7/6 7:00,26.700 ,0.141 ,0.000 
2022/7/6 8:00,27.700 ,0.531 ,0.000 
2022/7/6 9:00,27.400 ,0.434 ,0.185 
2022/7/6 10:00,27.400 ,0.391 ,0.207 
2022/7/6 11:00,28.500 ,0.398 ,0.187 
2022/7/6 12:00,29.100 ,0.384 ,0.182 
2022/7/6 13:00,29.700 ,0.427 ,0.189 
2022/7/6 14:00,31.200 ,0.409 ,0.228 
2022/7/6 15:00,29.900 ,0.407 ,0.247 
2022/7/6 16:00,30.600 ,0.385 ,0.250 
2022/7/6 17:00,30.400 ,0.352 ,0.259 
2022/7/6 18:00,29.300 ,0.102 ,0.270 
2022/7/6 19:00,28.800 ,0.056 ,0.241 
2022/7/6 20:00,28.400 ,0.013 ,0.106 
2022/7/6 21:00,28.400 ,0.000 ,0.000 
2022/7/6 22:00,28.000 ,0.000 ,0.000 
2022/7/6 23:00,27.900 ,0.000 ,0.000 
2022/7/7 0:00,28.000 ,0.000 ,0.000 
2022/7/7 1:00,27.800 ,0.000 ,0.000 
2022/7/7 2:00,27.700 ,0.000 ,0.000 
2022/7/7 3:00,27.800 ,0.000 ,0.000 
2022/7/7 4:00,27.300 ,0.000 ,0.000 
2022/7/7 5:00,26.900 ,0.000 ,0.000 
2022/7/7 6:00,26.900 ,0.000 ,0.000 
2022/7/7 7:00,27.500 ,0.096 ,0.009 
2022/7/7 8:00,28.900 ,0.467 ,0.025 
2022/7/7 9:00,30.300 ,0.477 ,0.147 
2022/7/7 10:00,32.300 ,0.458 ,0.231 
2022/7/7 11:00,33.000 ,0.443 ,0.226 
2022/7/7 12:00,31.900 ,0.436 ,0.226 
2022/7/7 13:00,32.000 ,0.462 ,0.227 
2022/7/7 14:00,32.300 ,0.418 ,0.237 
2022/7/7 15:00,31.400 ,0.410 ,0.240 
2022/7/7 16:00,31.400 ,0.408 ,0.250 
2022/7/7 17:00,30.800 ,0.171 ,0.280 
2022/7/7 18:00,29.900 ,0.092 ,0.264 
2022/7/7 19:00,30.000 ,0.053 ,0.238 
2022/7/7 20:00,29.200 ,0.014 ,0.087 
2022/7/7 21:00,28.800 ,0.000 ,0.000 
2022/7/7 22:00,28.600 ,0.000 ,0.000 
2022/7/7 23:00,28.500 ,0.000 ,0.000 
2022/7/8 0:00,28.100 ,0.000 ,0.000 
2022/7/8 1:00,27.900 ,0.000 ,0.000 
2022/7/8 2:00,28.400 ,0.000 ,0.000 
2022/7/8 3:00,27.900 ,0.000 ,0.000 
2022/7/8 4:00,27.900 ,0.000 ,0.000 
2022/7/8 5:00,27.700 ,0.000 ,0.000 
2022/7/8 6:00,27.800 ,0.000 ,0.000 
2022/7/8 7:00,28.300 ,0.085 ,0.003 
2022/7/8 8:00,29.500 ,0.512 ,0.003 
2022/7/8 9:00,31.200 ,0.417 ,0.145 
2022/7/8 10:00,31.700 ,0.414 ,0.207 
2022/7/8 11:00,32.600 ,0.438 ,0.201 
2022/7/8 12:00,31.600 ,0.440 ,0.212 
2022/7/8 13:00,32.600 ,0.460 ,0.208 
