date_time,temp,Heat
2022/7/12 14:00,29.3,0.442
2022/7/12 15:00,29.2,0.444
2022/7/12 16:00,29.6,0.244
2022/7/12 17:00,29.4,0.151
2022/7/12 18:00,27.9,0.089
2022/7/12 19:00,27.1,0.043
2022/7/12 20:00,26.6,0.014
2022/7/12 21:00,26.4,0
2022/7/12 22:00,26.4,0
2022/7/12 23:00,26.1,0
2022/7/13 0:00,25.9,0
2022/7/13 1:00,25.6,0
2022/7/13 2:00,25.5,0
2022/7/13 3:00,25.2,0
2022/7/13 4:00,24.9,0
2022/7/13 5:00,25.2,0
2022/7/13 6:00,24.5,0
2022/7/13 7:00,25.6,0.097
2022/7/13 8:00,27.3,0.483
2022/7/13 9:00,27.7,0.402
2022/7/13 10:00,27.9,0.366
2022/7/13 11:00,28.7,0.389
2022/7/13 12:00,29,0.381
2022/7/13 13:00,30.1,0.433
2022/7/13 14:00,29.7,0.424
2022/7/13 15:00,29.4,0.406
2022/7/13 16:00,29.8,0.41
2022/7/13 17:00,29.9,0.264
2022/7/13 18:00,28.8,0.082
2022/7/13 19:00,28.8,0.037
2022/7/13 20:00,28.1,0.014
2022/7/13 21:00,27.9,0
2022/7/13 22:00,28.1,0
2022/7/13 23:00,28,0
2022/7/14 0:00,28,0
2022/7/14 1:00,28.3,0
2022/7/14 2:00,28.2,0
2022/7/14 3:00,28.5,0
2022/7/14 4:00,29.3,0
2022/7/14 5:00,29.3,0
2022/7/14 6:00,29.4,0
2022/7/14 7:00,29.4,0.083
2022/7/14 8:00,30.1,0.45
2022/7/14 9:00,31.3,0.406
2022/7/14 10:00,32.6,0.43
2022/7/14 11:00,31.8,0.401
2022/7/14 12:00,31.2,0.398
2022/7/14 13:00,33,0.401
2022/7/14 14:00,33.2,0.402
2022/7/14 15:00,32.7,0.399
2022/7/14 16:00,32,0.354
2022/7/14 17:00,30.4,0.123
2022/7/14 18:00,30.8,0.074
2022/7/14 19:00,29.9,0.04
2022/7/14 20:00,29.4,0.013
2022/7/14 21:00,29.6,0
2022/7/14 22:00,29.5,0
2022/7/14 23:00,29.1,0
2022/7/15 0:00,28.7,0
